Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0.000,0.463
12.5,0.222,0.459757078
25,0.358,0.457767103
50,0.559,0.454818992
100,0.927,0.44943869
200,1.506,0.440962872
400,2.277,0.429686348
800,3.456,0.412439899
12.5,2.892,0.42069461
