Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5556
12.5,0.625,0.5458775
25,0.95,0.5408218
50,1.67,0.52962148
100,2.54,0.51608776
200,3.495,0.50123178
400,4.58,0.48435352
800,6.305,0.45751942
12.5,5.765,0.46591966
