Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.7616
12.5,0.6,0.7510304
25,0.99,0.74416016
50,1.475,0.7356164
100,2.05,0.7254872
200,2.975,0.7091924
400,4.755,0.67783592
800,7.51,0.62930384
12.5,6.825,0.6413708
