Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5
12.5,0.875,0.486875
25,1.295,0.480575
50,1.755,0.473675
100,2.575,0.461375
200,3.685,0.444725
400,5.195,0.422075
800,6.945,0.395825
12.5,5.31,0.42035
