Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6522
12.5,0.505,0.64385639
25,1.17,0.63286926
50,1.93,0.62031254
100,2.865,0.60486447
200,4.11,0.58429458
400,5.755,0.55711589
800,8.27,0.51556306
12.5,6.805,0.53976779
