Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6894
12.5,0.76,0.67656056
25,1.165,0.66971849
50,1.81,0.65882186
100,2.805,0.64201233
200,3.905,0.62342893
400,5.16,0.60222696
800,6.6,0.5778996
12.5,4.225,0.61802285
