Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0
12.5,1.495,0.299
25,2.13,0.426
50,2.855,0.571
100,3.91,0.782
200,5.37,1.074
400,7.065,1.413
800,9.05,1.81
12.5,7.36,1.472
