Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.7179
12.5,0.640,0.7069
25,1.135,0.6984
50,1.730,0.6882
100,2.578,0.6737
200,3.765,0.6532
400,5.195,0.6287
800,7.915,0.5819
200,7.2500,0.59335225
50,6.7500,0.60194175
12.5,6.4300,0.60743903
25,6.6000,0.6045186
100,7.1000,0.5959291
400,9.0000,0.563289
