Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.7533
12.5,1.095,0.734101365
25,1.89,0.72016263
50,2.845,0.703418615
100,4.39,0.67633013
200,7.08,0.62916636
400,10.235,0.573849745
800,13.92,0.50924064
12.5,10.93,0.56166431
