Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5202
12.5,2.395,0.48379121
25,3.2,0.4715536
50,3.94,0.46030412
100,4.955,0.44487409
200,6.22,0.42564356
400,7.63,0.40420874
800,9.075,0.38224185
12.5,7.935,0.39957213
