Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6386
12.5,0.3,0.6336842
25,0.5,0.630407
50,0.8,0.6254912
100,1.225,0.61852715
200,1.87,0.60795818
400,3.175,0.58657445
800,5.75,0.5443805
12.5,4.5,0.564863
