Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0.0.6667
12.5,0.82,0.65303306
25,1.165,0.647282945
50,1.57,0.64053281
100,2.11,0.63153263
200,2.885,0.618615705
400,4.175,0.597115275
800,5.855,0.569114715
12.5,4.75,0.58753175
