Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.7179
12.5,0.640,0.7069
25,1.135,0.6984
50,1.730,0.6882
100,2.578,0.6737
200,3.765,0.6532
400,5.195,0.6287
800,7.915,0.5819
400,7.4000,0.5907754
12.5,6.4300,0.60743903
