Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6792
12.5,0.5,0.670804
25,1,0.662408
50,1.75,0.649814
100,3,0.628824
200,4.55,0.6027964
400,6.7,0.5666936
800,9.12,0.52605696
12.5,7.895,0.54662716
