Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6987
12.5,0.315,0.693349095
25,0.535,0.689611955
50,0.94,0.68273222
100,1.575,0.671945475
200,2.72,0.65249536
400,4.56,0.62123928
800,6.86,0.58216918
12.5,5.88,0.59881644
