Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5198
12.5,0.225,0.51638045
25,0.5,0.512201
50,0.98,0.50490596
100,1.88,0.49122776
200,3.59,0.46523918
400,6.035,0.42808007
800,8.63,0.38864126
12.5,6.705,0.41789741
