Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5376
12.5,1.055,0.52137832
25,1.49,0.51468976
50,2.05,0.5060792
100,2.685,0.49631544
200,3.51,0.48363024
400,5.035,0.46018184
800,7.56,0.42135744
12.5,6.765,0.43358136
