Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6131
12.5,0.144,0.60148568
25,0.192,0.59761424
50,0.281,0.590435945
100,0.439,0.577692455
200,0.662,0.55970639
400,0.996,0.53276762
800,1.489,0.493004705
1600,2.097,0.443966465
