Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.4481
12.5,0.865,0.435573935
25,1.345,0.428623055
50,1.92,0.42029648
100,2.78,0.40784282
200,4.175,0.387641825
400,5.7,0.3655583
800,7.445,0.340288955
12.5,5.985,0.361431215
