Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.4149
12.5,0.15,0.41277765
25,0.25,0.41136275
50,0.455,0.408462205
100,0.85,0.40287335
200,1.525,0.393322775
400,2.565,0.378607815
800,4.31,0.35391781
12.5,2.9,0.3738679
