Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5731
12.5,0.995,0.557447655
25,1.47,0.54997543
50,2.12,0.53975028
100,2.965,0.526457585
200,4.035,0.509625415
400,5.625,0.484613125
800,7.605,0.453465745
12.5,6.38,0.47273622
