Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.4127
12.5,1.055,0.397796015
25,1.455,0.392145215
50,1.92,0.38557616
100,2.595,0.376040435
200,3.515,0.363043595
400,4.76,0.34545548
800,6.65,0.31875545
12.5,4.82,0.34460786
