Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.7179
12.5,0.128,0.70690544
25,0.227,0.698401835
50,0.346,0.68818033
100,0.515,0.673664075
200,0.753,0.653221065
400,1.039,0.628655095
800,1.583,0.581928215
12.5,1.286,0.60743903
