Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6522
12.5,1.175,0.63278665
25,1.86,0.62146908
50,2.83,0.60544274
100,4.28,0.58148584
200,6.38,0.54678964
400,8.535,0.51118473
800,11.625,0.46013175
12.5,10.33,0.48152774
