Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.3846
12.5,0.08,0.38349232
25,0.39,0.37920006
50,0.775,0.37386935
100,1.35,0.3659079
200,1.99,0.35704646
400,2.965,0.34354661
800,4.515,0.32208531
12.5,3.935,0.33011599
