Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0.0.7389
12.5,0.745,0.725945195
25,1.215,0.717772365
50,2.14,0.70168754
100,3.49,0.67821239
200,5.44,0.64430384
400,8.245,0.595527695
800,11.615,0.536926765
12.5,11.085,0.546142935
