Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.7267
12.5,0.9,0.7112
25,1.295,0.7043
50,1.76,0.6963
100,2.29,0.6872
200,3.14,0.6725
400,4.535,0.6484
800,6.545,0.6137
12.5,6.015,0.6228
