Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5774
12.5,0.735,0.56580611
25,0.945,0.56249357
50,1.285,0.55713041
100,1.8,0.5490068
200,2.465,0.53851709
400,3.69,0.51919394
800,5.825,0.48551645
12.5,4.3,0.5095718
