Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.4074
12.5,0.295,0.40324817
25,0.735,0.39705561
50,1.41,0.38755566
100,2.215,0.37622609
200,3.19,0.36250394
400,4.42,0.34519292
800,6.22,0.31985972
12.5,5.79,0.32591154
