Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.5434
12.5,0.955,0.52866053
25,1.47,0.52071202
50,2.19,0.50959954
100,3.025,0.49671215
200,4.205,0.47850003
400,5.915,0.45210789
800,8.02,0.41961932
12.5,6.77,0.43891182
