Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.6341
12.5,1.295,0.612938405
25,1.74,0.60566666
50,2.275,0.596924225
100,2.94,0.58605746
200,3.81,0.57184079
400,4.74,0.55664366
800,5.825,0.538913675
12.5,4.975,0.552803525
